Date,Open,Close,Volume,Nifty50,VWAP,RVOL,IPR,SMA_Close_F,SMA_Close_M,SMA_Close_S,EMA_Close_F,EMA_Close_M,EMA_Close_S,DEMA_Close_F,DEMA_Close_M,DEMA_Close_S,macd,dn,up,RSI_Close,TrueRange,AvgTrueRange,OBV,SAR,COD,VOL,lag1,lag2,lag3,lag4,lag5,rpi,eps,pe
10/03/2022,2215.199219,2208.045898,10207114,16345.34961,1494.659525,1.424453282,122.6206055,2128.991064,2141.806885,2176.989343,2132.147555,2145.614729,2165.754524,2123.474576,2122.553502,2135.35949,-1.09998703,2066.768957,2287.20973,49.71666343,122.6206055,63.25274327,1008578893,2186.532965,109.0061035,5.941417674,2172.833496,2063.365723,2067.104004,2146.481934,2195.170166,0.0601,27.6,7.85
11/03/2022,2193.093262,2214.414551,8990246,16594.90039,1495.197277,1.226836069,41.53491211,2131.566211,2143.486743,2177.393152,2157.447003,2156.965851,2169.782274,2168.531315,2147.384855,2145.92616,-0.806367253,2066.780478,2288.005826,53.01767575,46.98071289,62.09045538,1017569139,2012.139282,-7.153320313,1.874996694,2208.045898,2172.833496,2063.365723,2067.104004,2146.481934,0.0601,27.6,7.85
14/03/2022,2203.10791,2232.597656,6128711,16630.44922,1495.566673,0.83693361,32.2590332,2145.152734,2156.722559,2178.228455,2176.436186,2167.411069,2174.032967,2196.485182,2168.11816,2156.294729,-0.544088022,2066.765694,2289.691215,53.61084158,32.2590332,59.95963951,1023697850,2012.139282,21.32128906,1.470937591,2214.414551,2208.045898,2172.833496,2063.365723,2067.104004,0.0601,27.6,7.85
15/03/2022,2240.99707,2181.463623,4170339,16871.30078,1495.824167,0.584674865,46.51928711,2178.251465,2169.173804,2180.187512,2195.156676,2179.263176,2179.610556,2221.003,2189.538883,2168.608065,-0.266177991,2066.373357,2294.001667,55.34433955,46.51928711,58.99961434,1027868189,2020.667803,29.48974609,2.11153012,2232.597656,2214.414551,2208.045898,2172.833496,2063.365723,0.0607,27.6,7.85
16/03/2022,2198.585205,2218.29126,7962884,16663,1496.281242,1.096377684,80.39331055,2201.871045,2169.533789,2181.336646,2190.592325,2179.663257,2179.787039,2204.780307,2188.397993,2169.992079,-0.232997018,2067.959087,2294.714204,49.7177529,80.39331055,60.5277355,1019905305,2033.690962,-59.53344727,3.587390256,2181.463623,2232.597656,2214.414551,2208.045898,2172.833496,0.0607,27.6,7.85
17/03/2022,2245.42749,2290.608398,5574914,16975.34961,1496.618064,0.767753709,28.4284668,2210.962598,2169.976831,2180.662854,2199.825303,2186.68653,2183.454107,2215.439277,2199.579447,2177.909825,-0.069697202,2068.336822,2292.988886,53.3928815,41.02734375,59.13485037,1025480219,2050.275451,19.70605469,1.293034572,2218.29126,2181.463623,2232.597656,2214.414551,2208.045898,0.0607,27.6,7.85
21/03/2022,2255.811279,2277.409424,10711049,17287.05078,1497.329076,1.421117142,75.96289063,2227.475098,2179.520654,2183.835669,2230.086335,2205.581415,2193.659278,2260.669672,2231.589617,2197.876272,0.321583324,2063.161625,2304.509713,59.63229775,86.80810547,61.11151145,1036191268,2065.53318,45.1809082,3.383003502,2290.608398,2218.29126,2181.463623,2232.597656,2214.414551,0.0607,27.6,7.85
22/03/2022,2270.671387,2336.250732,5999733,17117.59961,1497.720171,0.798291389,41.53491211,2240.074072,2192.613403,2184.93866,2245.860698,2218.641053,2201.635482,2276.765831,2250.605649,2212.667424,0.574665669,2061.30323,2308.574089,58.10340531,41.53491211,59.71318293,1030191535,2089.489799,21.59814453,1.841240555,2277.409424,2290.608398,2218.29126,2181.463623,2232.597656,0.0607,27.6,7.85
23/03/2022,2328.728271,2343.680664,11278532,17315.5,1498.509711,1.425810854,75.0859375,2260.804688,2219.528076,2189.865173,2275.990709,2240.024631,2214.455982,2316.680806,2283.673137,2236.036763,0.97599444,2051.263145,2328.467202,62.69524197,75.0859375,60.81123683,1041470067,2111.050755,65.5793457,3.306772523,2336.250732,2277.409424,2290.608398,2218.29126,2181.463623,0.0607,27.6,7.85
24/03/2022,2316.729248,2380.093018,7731093,17245.65039,1499.054851,0.964080899,38.62744141,2293.248096,2247.55957,2196.29386,2298.554028,2258.871183,2226.763095,2340.722971,2310.003502,2257.423569,1.302345571,2042.509524,2350.078196,63.2430574,38.62744141,59.22668001,1049201160,2138.495632,14.95239258,1.658735451,2343.680664,2336.250732,2277.409424,2290.608398,2218.29126,0.0607,27.6,7.85
